Timestamp,RoverID,RoverType,SensorType,Value,Status
2055-10-12T08:00:00Z,R-05,Tracked,Temperature,-40.3,OK
2055-10-12T08:00:05Z,R-04,Hover,Atmosphere,98.2,OK
2055-10-12T08:00:07Z,R-05,Tracked,Atmosphere,96.9,OK
2055-10-12T08:00:08Z,R-02,Hover,Atmosphere,96.6,OK
2055-10-12T08:00:10Z,R-05,Tracked,Temperature,-50.0,OK
2055-10-12T08:00:11Z,R-05,Tracked,Atmosphere,94.3,OK
2055-10-12T08:00:13Z,R-05,Tracked,Temperature,-43.3,WARNING
2055-10-12T08:00:16Z,R-05,Tracked,Atmosphere,95.4,OK
2055-10-12T08:00:19Z,R-04,Hover,Radiation,91.7,OK
2055-10-12T08:00:22Z,R-01,Tracked,Radiation,243.7,OK
2055-10-12T08:00:27Z,R-02,Hover,Radiation,183.3,OK
2055-10-12T08:00:29Z,R-04,Hover,Atmosphere,94.6,OK
2055-10-12T08:00:32Z,R-05,Tracked,Radiation,141.6,OK
2055-10-12T08:00:35Z,R-05,Tracked,Radiation,89.4,OK
2055-10-12T08:00:38Z,R-03,Walker,Radiation,160.8,OK
2055-10-12T08:00:43Z,R-05,Tracked,Temperature,-24.0,OK
2055-10-12T08:00:47Z,R-01,Tracked,Atmosphere,91.5,OK
2055-10-12T08:00:49Z,R-02,Hover,Temperature,ERR,ERROR
2055-10-12T08:00:50Z,R-02,Hover,Temperature,-44.1,OK
2055-10-12T08:00:55Z,R-05,Tracked,Radiation,140.7,OK
2055-10-12T08:00:57Z,R-01,Tracked,Radiation,108.5,OK
2055-10-12T08:01:02Z,R-04,Hover,Atmosphere,98.5,OK
2055-10-12T08:01:04Z,R-03,Walker,Atmosphere,93.7,WARNING
2055-10-12T08:01:08Z,R-01,Tracked,Radiation,111.5,OK
2055-10-12T08:01:12Z,R-04,Hover,Atmosphere,93.1,OK
2055-10-12T08:01:16Z,R-01,Tracked,Radiation,264.6,OK
2055-10-12T08:01:19Z,R-02,Hover,Radiation,144.0,OK
2055-10-12T08:01:23Z,R-02,Hover,Atmosphere,,ERROR
2055-10-12T08:01:27Z,R-02,Hover,Atmosphere,95.4,OK
2055-10-12T08:01:31Z,R-04,Hover,Atmosphere,98.0,WARNING
2055-10-12T08:01:36Z,R-01,Tracked,Atmosphere,NULL,ERROR
